# Zoyla Test Results
# Exported: 2025-12-22T19:51:52.795Z
# URL: https://httpbin.org/get
# Method: GET
# Total Requests: 500
# Successful: 234
# Failed: 266
# Total Time: 4.8183s
# Requests/sec: 103.77
# Avg Response: 981.65ms
# Min Response: 0.20ms
# Max Response: 4816.42ms

request_num,status,duration_ms,success,timestamp_ms,error
50,0,42.31,false,44.79,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448282000_1767586446)"
51,0,36.75,false,44.80,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453852000_2587007298)"
52,0,37.29,false,44.83,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453338000_1638105505)"
53,0,37.21,false,44.84,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453438000_2150232187)"
54,0,31.01,false,44.87,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976459664000_645263857)"
55,0,35.94,false,44.88,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976454745000_3902784208)"
56,0,38.61,false,44.91,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452108000_3005600502)"
57,0,38.61,false,44.95,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452143000_2596943805)"
58,0,26.80,false,44.98,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976463995000_2207525535)"
59,0,0.23,false,45.00,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490578000_1659210056)"
60,0,36.75,false,45.04,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976454095000_782651873)"
61,0,37.61,false,45.07,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453261000_3909396232)"
62,0,0.45,false,45.44,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490792000_293346826)"
63,0,38.71,false,45.45,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452540000_2115596067)"
64,0,38.59,false,45.46,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452668000_2513703628)"
65,0,0.36,false,45.47,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490915000_1552163004)"
66,0,39.09,false,45.50,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452215000_1262675841)"
67,0,27.29,false,45.51,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976464024000_3590605972)"
68,0,38.60,false,45.51,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452720000_2626500716)"
69,0,37.56,false,45.53,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453773000_2409502171)"
70,0,37.55,false,45.55,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453801000_2565466496)"
71,0,27.32,false,45.55,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976464037000_3828624808)"
72,0,37.98,false,45.56,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453386000_1074544454)"
73,0,0.74,false,45.59,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976490651000_35054421)"
74,0,39.23,false,46.07,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452645000_662253676)"
75,0,39.29,false,46.08,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452598000_1721082157)"
76,0,39.41,false,46.09,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452490000_3491066525)"
77,0,38.24,false,46.10,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453663000_633538694)"
78,0,43.86,false,46.11,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448053000_1253551127)"
79,0,39.53,false,46.11,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452390000_1211617703)"
80,0,43.11,false,46.13,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448828000_1583856787)"
81,0,40.27,false,46.42,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451954000_2054166821)"
82,0,43.37,false,46.43,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448873000_1998728317)"
83,0,39.95,false,46.66,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452513000_3421459382)"
84,0,45.31,false,46.67,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447165000_3329541181)"
85,0,40.02,false,46.68,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452466000_2050562069)"
86,0,38.86,false,46.68,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453631000_3332486442)"
87,0,45.42,false,46.69,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447078000_3056242436)"
88,0,43.29,false,46.72,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976449235000_120064449)"
89,0,44.61,false,46.73,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447920000_3825906739)"
90,0,0.53,false,46.73,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492009000_916768052)"
91,0,45.26,false,46.75,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447296000_2025908404)"
92,0,40.49,false,46.76,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452078000_3833437645)"
93,0,40.06,false,46.82,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452570000_698067607)"
94,0,45.71,false,47.02,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447116000_655342352)"
95,0,0.20,false,47.04,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492640000_2912386004)"
96,0,40.55,false,47.06,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452314000_1847181338)"
97,0,43.81,false,47.07,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976449065000_3363915321)"
98,0,45.05,false,47.08,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447835000_1637948592)"
99,0,40.45,false,47.09,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452438000_54263358)"
100,0,0.32,false,47.09,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492584000_2013276372)"
101,0,43.99,false,47.10,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448918000_1239179038)"
102,0,43.96,false,47.13,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448969000_1335933815)"
103,0,42.83,false,47.13,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450110000_709468201)"
104,0,43.34,false,47.14,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976449602000_1268825781)"
105,0,46.08,false,47.15,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976446881000_3140242233)"
106,0,41.62,false,47.17,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451358000_1093660066)"
107,0,0.39,false,47.18,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492591000_385493676)"
108,0,42.05,false,47.21,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450959000_2000980737)"
109,0,42.72,false,47.23,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450316000_2424429769)"
110,0,0.47,false,47.24,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492576000_3549598990)"
111,0,41.55,false,47.28,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451537000_947137899)"
112,0,44.89,false,47.29,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448206000_3304788933)"
113,0,41.25,false,47.30,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451854000_701849687)"
114,0,41.87,false,47.31,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451246000_1711728646)"
115,0,0.47,false,47.31,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492649000_4247921253)"
116,0,41.40,false,47.33,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451737000_4221394022)"
117,0,41.96,false,47.34,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451189000_1323150917)"
118,0,43.38,false,47.36,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976449788000_89017091)"
119,0,42.10,false,47.37,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451073000_1997458184)"
120,0,44.04,false,47.38,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976449141000_3945414892)"
121,0,0.62,false,47.43,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976492613000_1553355807)"
122,0,45.03,false,47.55,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448326000_3383456197)"
123,0,43.08,false,47.56,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450283000_2141862395)"
124,0,43.13,false,47.57,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450239000_1173902483)"
125,0,42.75,false,47.58,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450637000_2179762635)"
126,0,26.44,false,47.59,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976466960000_2170435519)"
127,0,42.56,false,47.60,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450848000_139282129)"
128,0,41.74,false,47.60,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451666000_1383948442)"
129,0,41.70,false,47.61,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451712000_97960709)"
130,0,0.53,false,47.88,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493153000_3319679053)"
131,0,0.48,false,47.89,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976493216000_4096273755)"
132,0,43.11,false,47.90,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450594000_3259949212)"
